Order_ID,Service_Type,Order_Date,Amount_NGN,Status,Delivery_Time_Min,Payment_Method,Customer_Rating
OTS-1081,Ride,1/27/2025,2150,Completed,17,Cash,5
OTS-1082,Grocery,1/28/2025,12200,Completed,63,Wallet,4
OTS-1083,Food,1/28/2025,3700,Completed,29,Card,5
OTS-1084,Logistics,1/28/2025,3200,Completed,36,Cash,4
OTS-1085,Ride,1/29/2025,1250,Completed,12,Wallet,5
OTS-1086,Food,1/29/2025,4600,Completed,34,Card,4
OTS-1087,Grocery,1/29/2025,10100,Completed,59,Cash,5
OTS-1088,Ride,1/30/2025,1700,Completed,15,Wallet,4
OTS-1089,Logistics,1/30/2025,2400,Cancelled,,Card,
OTS-1090,Food,1/30/2025,2900,Completed,24,Cash,4
OTS-1091,Ride,1/31/2025,2000,Completed,16,Wallet,5
OTS-1092,Grocery,1/31/2025,14000,Completed,72,Card,5
OTS-1093,Food,1/31/2025,4800,Completed,38,Cash,3
OTS-1094,Logistics,1/31/2025,3500,Completed,41,Wallet,4
OTS-1095,Ride,2/1/2025,1500,Completed,13,Card,5
OTS-1096,Food,2/1/2025,3200,Completed,26,Cash,4
OTS-1097,Grocery,2/1/2025,7800,Completed,51,Wallet,4
OTS-1098,Ride,2/2/2025,2200,Completed,19,Card,5
OTS-1099,Logistics,2/2/2025,4500,Cancelled,,Cash,
OTS-1100,Food,2/2/2025,3900,Completed,30,Wallet,4
